FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,WA,795,0,106,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11604,,79500US5311604,"Seattle City (Southeast)--Capitol Hill PUMA, Washington",,,
ACSSF,WA,795,0,107,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11605,,79500US5311605,"Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington",,,
ACSSF,WA,795,0,108,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11606,,79500US5311606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA; Washington",,,
ACSSF,WA,795,0,109,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11607,,79500US5311607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",,,
ACSSF,WA,795,0,110,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11608,,79500US5311608,"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",,,
ACSSF,WA,795,0,111,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11609,,79500US5311609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington",,,
ACSSF,WA,795,0,112,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11610,,79500US5311610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",,,
ACSSF,WA,795,0,113,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11611,,79500US5311611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington",,,
ACSSF,WA,795,0,114,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11612,,79500US5311612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington",,,
ACSSF,WA,795,0,115,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11613,,79500US5311613,"King County (Southwest Central)--Kent City PUMA, Washington",,,
ACSSF,WA,795,0,116,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11614,,79500US5311614,"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",,,
ACSSF,WA,795,0,117,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11615,,79500US5311615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington",,,
ACSSF,WA,795,0,118,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11616,,79500US5311616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington",,,
ACSSF,WA,795,0,119,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11701,,79500US5311701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington",,,
ACSSF,WA,795,0,120,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11702,,79500US5311702,"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington",,,
ACSSF,WA,795,0,121,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11703,,79500US5311703,"Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, Washington",,,
ACSSF,WA,795,0,122,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11704,,79500US5311704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington",,,
ACSSF,WA,795,0,123,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11705,,79500US5311705,"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, Washington",,,
ACSSF,WA,795,0,124,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11706,,79500US5311706,"Snohomish County (North)--Marysville & Arlington Cities PUMA, Washington",,,
ACSSF,WA,795,0,125,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11801,,79500US5311801,"Kitsap County (North)--Bainbridge Island City & Silverdale PUMA, Washington",,,
ACSSF,WA,795,0,126,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11802,,79500US5311802,"Kitsap County (South)--Bremerton & Port Orchard Cities PUMA, Washington",,,
ACSSF,WA,795,0,127,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900,,79500US5311900,"Clallam & Jefferson Counties PUMA, Washington",,,
ACSSF,WA,970,0,128,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,97000US5300300,"Auburn School District, Washington",,,
