OID,IDTRSD,TreeSpecie,TreeDBH
519,09S3533WL,FIR,16
520,09S3534NL,FIR,20
521,09S3516NL,FIR,16
522,09S3516WL,PINE,34
523,09S3521WL,WESTERN LARCH,15
524,09S3522WL,PINE,20
525,09S3524NL,WESTERN LARCH,18
526,09S3536WL,FIR,28
527,10S3418WL,PINE,24
528,10S3419WL,PINE,36
529,10N4131SL,PINE,20
530,10N4133SL,PINE,36
531,10N4135SL,PINE,30
532,10N4233SL,PINE,20
533,10N4235SL,PINE,36
534,10N4333SL,PINE,18
535,10S3430WL,PINE,24
536,01S3505NL,WHITE FIR,20
537,01S3722WL,PINE,60
538,02N3613WL,WHITE FIR,12
539,02N3616WL,PINE,18
540,02N3720NL,FIR,40
541,02N3720WL,FIR,40
542,02N3724WL,WESTERN LARCH,30
543,02N3725WL,FIR,18
544,02N3736NL,FIR,28
545,02N3736WL,FIR,24
546,03N3725WL,FIR,28
547,02S3530WL,FIR,38
548,03N4019WL,PINE,20
549,03N4101NL,WESTERN LARCH,30
550,03N4106NL,PINE,48
551,03N4108WL,FIR,40
552,03N4113WL,PINE,40
553,03N4115WL,PINE,50
554,03N4116WL,FIR,18
555,03N4120WL,PINE,30
556,03N4123WL,WESTERN LARCH,38
557,03N4126WL,FIR,46
558,03N4132NL,PINE,48
559,03N4132WL,PINE,30
560,03N4133NL,PINE,20
561,03N4133WL,PINE,30
562,03N4135NL,PINE,40
563,04N4111WL,PINE,24
564,04N4123WL,WESTERN LARCH,24
565,04N4124WL,PINE,40
566,04N4125WL,FIR,20
567,04N4133WL,PINE,48
568,04N4135WL,PINE,20
569,04S2910WL,PINE,24
570,04S2918WL,WESTERN LARCH,18
571,04S2924WL,FIR,24
572,05N3823WL,FIR,24
573,05N3814WL,FIR,30
574,05N3815WL,FIR,20
575,05N3817WL,FIR,20
576,05N3820NL,FIR,30
577,05N3803WL,WESTERN LARCH,28
578,05N3810WL,FIR,30
579,05N3811WL,WESTERN LARCH,15
580,05N4033SL,SPRUCE,44
581,05N4233SL,YELLOW PINE,44
582,05S2724EL,FIR,30
583,05S2724WL,FIR,18
584,05S2725WL,FIR,12
585,05S2708WL,PINE,28
586,05S2711WL,PINE,24
587,05S2713EL,FIR,24
588,05S2713WL,PINE,36
589,05S2728WL,PINE,24
590,05S2734WL,PINE,16
591,05S2736WL,WESTERN LARCH,24
592,05S2936WL,PINE,30
593,06N3801WL,RED FIR,18
594,06N4217NL,WESTERN LARCH,40
595,06N4218NL,FIR,36
596,06N4201EL,RED FIR,30
597,06N4201WL,FIR,24
598,06N4202WL,PINE,50
599,06N4212NL,PINE,38
600,06N4306NL,WHITE FIR,18
601,06S2501EL,PINE,36
602,06S2512EL,PINE,30
603,06S2513EL,PINE,10
604,06S2525EL,PINE,30
605,06S2536EL,PINE,24
606,06S2601WL,PINE,18
607,06S2612WL,PINE,10
608,06S2621WL,PINE,36
609,06S2628WL,PINE,15
610,06S2629WL,FIR,30
611,06S2632WL,PINE,36
612,06S2633SL,PINE,24
613,06S2708WL,FIR,30
614,06S2724WL,PINE,36
615,06S2725WL,PINE,36
616,06S2735WL,PINE,24
617,06S2811WL,PINE,30
618,06S2812EL,FIR,30
619,06S2817WL,PINE,20
620,06S2821WL,PINE,18
621,06S2835WL,PINE,30
622,06S3516NL,PINE,32
623,07N4332WL,YELLOW PINE,48
624,07N4204NL,FIR,24
625,07N4236EL,FIR,20
626,07N4326WL,BULL PINE,10
627,07N4327WL,YELLOW PINE,30
628,07S2409NL,WESTERN LARCH,32
629,07S2421WL,PINE,40
630,07N4334WL,WESTERN LARCH,24
631,07N4402WL,FIR,20
632,07S2501WL,RED FIR,32
633,07S2504NL,RED FIR,36
634,07S2524WL,RED FIR,30
635,07S2530WL,YELLOW PINE,40
636,07S2601WL,PINE,60
637,07S2609NL,WESTERN LARCH,40
638,07S2612EL,PINE,36
639,07S2615NL,PINE,28
640,07S2621WL,FIR,50
641,08N4107WL,PINE,30
642,08N4113EL,WHITE FIR,12
643,08N4113WL,WESTERN LARCH,20
644,08N4122WL,SPRUCE,50
645,08N4124EL,SPRUCE,15
646,08N4125EL,SPRUCE,22
647,08N4131SL,SPRUCE,8
648,08N4132SL,FIR,18
649,08S2601NL,YELLOW PINE,20
650,08S2613EL,RED FIR,32
651,08S3222NL,YELLOW PINE,36
652,08S3222WL,FIR,36
653,08S3227WL,WESTERN LARCH,28
654,08S3421WL,PINE,48
655,08S3521NL,FIR,30
