OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
481,01S3720NW,FIR,5,39
482,01S3720W,PINE,5,37
483,01S3721N,PINE,30,11
484,01S3721NW,FIR,8,24
485,01S3721W,PINE,12,76
486,01S3722N,FIR,4,9
487,01S3722NW,FIR,14,7
488,01S3722W,PINE,6,24
489,01S3723NW,FIR,12,123
490,01S3727NW,FIR,30,25
491,01S3728N,FIR,8,86
492,01S3728NW,FIR,5,8
493,01S3728W,PINE,36,34
494,01S3729N,FIR,9,23
495,01S3729NW,FIR,15,9
496,01S3729W,PINE,15,27
497,01S3730N,FIR,20,76
498,01S3730NW,PINE,40,61
499,01S3731N,PINE,48,28
500,01S3731NW,PINE,8,43
501,01S3732N,WESTERN LARCH,15,24
502,02N3602NW,FIR,10,35
503,02N3602W,FIR,12,37
504,02N3603NW,FIR,22,18
505,02N3603W,PINE,16,49
506,02N3608N,FIR,10,10
507,02N3608NW,FIR,10,83
508,02N3608W,PINE,20,80
509,02N3609NW,WESTERN LARCH,10,60
510,02N3609W,FIR,8,37
511,02N3610NW,FIR,22,82
512,02N3610W,FIR,30,13
513,02N3611N,FIR,5,11
514,02N3611NW,FIR,10,23
515,02N3611W,PINE,18,132
516,02N3612N,FIR,12,15
517,02N3612NE,FIR,30,109
518,02N3612NW,FIR,12,130
519,02N3612W,FIR,18,21
520,02N3613N,FIR,12,9
521,02N3613NE,FIR,12,---
522,02N3613NW,FIR,15,15
523,02N3613W,FIR,18,15
524,02N3614W,FIR,12,39
525,02N3615NW,FIR,10,91
526,02N3615W,FIR,10,21
527,02N3616N,FIR,24,260
528,02N3617N,FIR,12,80
529,02N3619N,BALM,20,1
530,02N3620NW,FIR,6,100
531,02N3622N,FIR,24,207
532,02N3622NW,FIR,14,190
533,02N3623N,FIR,15,12
534,02N3623NW,FIR,18,30
535,02N3623W,FIR,8,95
536,02N3624NW,FIR,30,3
537,02N3624W,WESTERN LARCH,6,22
538,02N3625N,FIR,3,113
539,02N3625NW,FIR,10,94
540,02N3625W,FIR,3,4
541,02N3626NW,FIR,6,16
542,02N3626W,FIR,30,96
543,02N3627N,FIR,24,131
544,02N3627W,PINE,20,77
545,02N3630NW,FIR,6,11
546,02N3631NW,COTTONWOOD,7,39
547,02N3632N,PINE,6,28
548,02N3632W,PINE,26,22
549,02N3634W,FIR,6,50
550,02N3635N,WESTERN LARCH,4,33
551,02N3636N,PINE,7,40
552,02N3636NW,WESTERN LARCH,6,12
553,02N3636W,FIR,24,123
554,02N3701NW,FIR,30,59
555,02N3701W,FIR,16,135
556,02N3702NW,FIR,18,96
557,02N3703NW,FIR,10,90
558,02N3704W,FIR,12,25
559,02N3705NW,FIR,14,81
560,02N3705W,FIR,18,29
561,02N3707NW,FIR,12,45
562,02N3707W,FIR,30,171
563,02N3708NW,FIR,12,37
564,02N3708W,FIR,10,23
565,02N3709N,PINE,16,4
566,02N3709NW,FIR,16,69
567,02N3709W,FIR,16,12
568,02N3710NW,PINE,12,121
569,02N3710W,FIR,10,28
570,02N3711N,FIR,12,19
571,02N3711W,PINE,36,110
572,02N3712NW,FIR,48,43
573,02N3712W,FIR,12,24
574,02N3713N,PINE,36,71
575,02N3713NW,PINE,12,60
576,02N3713W,FIR,48,21
577,02N3714N,PINE,40,118
578,02N3714NW,FIR,12,24
579,02N3714W,FIR,36,51
580,02N3715N,FIR,30,71
581,02N3715NW,FIR,32,85
582,02N3715W,FIR,18,39
583,02N3716N,FIR,10,18
584,02N3716NW,FIR,12,10
585,02N3716W,FIR,12,32
586,02N3717NW,FIR,30,190
587,02N3717W,FIR,12,65
588,02N3718N,FIR,12,42
589,02N3718NW,FIR,12,59
590,02N3718W,FIR,18,54
591,02N3719N,FIR,16,34
592,02N3719NW,FIR,10,15
593,02N3720N,FIR,28,33
594,02N3720NW,FIR,10,55
595,02N3721N,FIR,12,53
596,02N3721NW,PINE,30,95
597,02N3721W,FIR,20,35
598,02N3722N,PINE,8,15
599,02N3722NW,FIR,12,18
600,02N3722W,FIR,12,40
601,02N3723N,FIR,16,7
602,02N3723NW,FIR,24,17
603,02N3723W,WESTERN LARCH,6,197
604,02N3724N,WESTERN LARCH,24,23
605,02N3724NW,FIR,24,228
606,02N3724W,PINE,24,42
607,02N3725N,WESTERN LARCH,28,11
608,02N3725NW,WESTERN LARCH,36,58
609,02N3725W,WESTERN LARCH,30,12
610,02N3726N,FIR,18,40
611,02N3726NW,FIR,18,21
612,02N3726W,FIR,24,74
613,02N3727N,FIR,12,106
614,02N3727NW,FIR,24,54
615,02N3727W,FIR,36,12
616,02N3728N,FIR,16,71
617,02N3728NW,FIR,18,37
618,02N3728W,FIR,12,23
619,02N3729N,FIR,12,43
620,02N3729NW,FIR,24,301
621,02N3729W,FIR,10,30
622,02N3730N,FIR,30,80
623,02N3730NW,FIR,10,34
624,02N3730W,FIR,16,216
625,02N3731N,FIR,18,142
626,02N3731NW,WESTERN LARCH,12,26
627,02N3732N,FIR,16,92
628,02N3732NW,FIR,20,24
629,02N3732W,FIR,30,25
630,02N3733N,FIR,24,30
631,02N3733W,WESTERN LARCH,45,116
632,02N3734N,SPRUCE,12,72
633,02N3734NW,PINE,24,23
634,02N3734W,FIR,30,72
635,02N3735N,FIR,28,204
636,02N3735NW,FIR,12,80
637,02N3735W,WESTERN LARCH,30,25
638,02N3736N,FIR,30,134
639,02N3736NW,WESTERN LARCH,36,82
640,02N3736W,FIR,10,23
641,02N3801N,FIR,16,8
642,02N3801NW,FIR,16,14
643,02N3802N,FIR,28,18
644,02N3802NW,FIR,10,21
645,02N3803N,FIR,8,326
646,02N3803NW,FIR,22,33
647,02N3804N,SPRUCE,15,59
648,02N3804NW,WESTERN LARCH,8,17
649,02N3804W,SPRUCE,10,15
650,02N3805N,FIR,4,23
651,02N3805NW,SPRUCE,6,20
652,02N3805W,FIR,27,14
653,02N3806W,FIR,30,12
654,02N3807N,FIR,20,115
655,02N3807NW,FIR,30,109
656,02N3807W,FIR,30,171
657,02N3808N,FIR,18,40
658,02N3808NW,FIR,30,57
659,02N3808W,FIR,30,17
660,02N3809NW,FIR,18,197
661,02N3809W,FIR,10,56
662,02N3813N,FIR,12,10
663,02N3813NE,PINE,22,83
664,02N3813NW,FIR,8,19
665,02N3813W,FIR,15,37
666,02N3814N,FIR,18,45
667,02N3814NW,FIR,27,40
668,02N3814W,FIR,6,33
669,02N3815N,FIR,30,6
670,02N3815NW,WESTERN LARCH,24,79
671,02N3815W,PINE,30,162
672,02N3816N,FIR,30,66
673,02N3816NW,FIR,12,75
674,02N3816W,FIR,20,47
675,02N3817N,FIR,8,18
676,02N3817NW,FIR,30,11
677,02N3817W,WESTERN LARCH,10,28
678,02N3818N,FIR,12,32
679,02N3818NW,FIR,12,45
680,02N3818W,FIR,18,54
681,02N3819N,FIR,12,98
682,02N3819NW,FIR,24,27
683,02N3819W,FIR,18,45
684,02N3820N,FIR,24,46
685,02N3820NW,FIR,24,194
686,02N3820W,FIR,30,20
687,02N3821N,FIR,30,121
688,02N3821NW,FIR,8,46
689,02N3821W,FIR,10,42
690,02N3822N,FIR,8,3
691,02N3822NW,PINE,26,160
692,02N3822W,PINE,30,24
693,02N3823N,ALDER,4,20
694,02N3823NW,FIR,30,21
695,02N3823W,FIR,12,56
696,02N3824N,WESTERN LARCH,10,20
697,02N3824NE,FIR,10,45
698,02N3824NW,FIR,13,48
699,02N3824W,PINE,30,98
700,02N3825N,FIR,13,25
701,02N3825NE,WESTERN LARCH,20,41
702,02N3825NW,PINE,36,35
703,02N3825W,FIR,10,164
704,02N3826N,FIR,10,27
705,02N3826NW,FIR,10,45
706,02N3826W,FIR,12,12
707,02N3827N,WESTERN LARCH,30,12
708,02N3827NW,FIR,12,31
709,02N3827W,FIR,27,148
710,02N3828N,FIR,10,12
711,02N3828NW,FIR,8,14
712,02N3828W,FIR,7,36
713,02N3829N,FIR,24,9
714,02N3829NW,PINE,10,100
715,02N3829W,FIR,12,16
716,02N3830N,WESTERN LARCH,12,14
717,02N3830NW,FIR,10,104
718,02N3830W,FIR,12,24
719,02N3831N,FIR,10,51
720,02N3831NW,FIR,12,22
721,03N3636W,WESTERN LARCH,16,17
722,03N3701N,FIR,24,115
723,03N3701NW,FIR,10,229
724,03N3701W,FIR,12,27
725,03N3702N,FIR,12,30
726,03N3702NW,FIR,24,38
727,02N3831W,FIR,10,81
728,02N3832N,PINE,18,126
729,02N3832NW,FIR,12,17
730,02N3832S,WESTERN LARCH,14,12
731,02N3832W,SPRUCE,10,20
732,02N3833N,FIR,10,14
733,02N3833NW,PINE,20,232
734,02N3833S,FIR,12,39
735,02N3833SW,FIR,12,9
736,02N3833W,WESTERN LARCH,20,24
737,02N3834N,PINE,30,233
738,02N3834NW,FIR,18,48
739,02N3834S,WESTERN LARCH,4,9
740,02N3834SW,FIR,16,22
741,02N3834W,WESTERN LARCH,27,16
742,02N3835N,PINE,36,57
743,02N3835NW,FIR,10,20
744,02N3835S,WESTERN LARCH,6,9
745,02N3835SW,PINE,34,30
746,02N3835W,FIR,12,32
747,02N3836N,PINE,15,130
748,02N3836NE,WESTERN LARCH,8,18
749,02N3836NW,FIR,26,33
750,02N3836S,PINE,14,26
751,02N3836SE,PINE,24,90
752,02N3836SW,FIR,14,57
753,02N3836W,FIR,15,16
754,02S3233SE,PINE,36,102
755,02S3234S,FIR,6,25
756,02S3234SE,PINE,4,52
757,02S3425NW,FIR,24,200
758,02S3436SW,PINE,15,27
759,02S3436W,FIR,16,25
760,02S3501NW,PINE,12,14
761,02S3501W,FIR,9,27
762,02S3502NW,PINE,18,17
763,02S3502W,PINE,10,15
764,03N3725N,PINE,24,25
765,03N3725NE,FIR,24,145
766,03N3725NW,FIR,6,5
767,03N3725W,PINE,36,25
768,03N3726NW,PINE,16,261
769,03N3726W,FIR,12,17
770,03N3727N,PINE,14,160
771,03N3727NW,PINE,22,62
772,03N3727W,FIR,24,40
773,03N3728N,PINE,14,160
774,03N3728NW,FIR,18,67
775,03N3729N,FIR,11,61
776,03N3729NW,WESTERN LARCH,11,53
777,03N3729W,FIR,22,150
778,03N3730N,FIR,18,37
779,03N3730NW,FIR,6,95
780,03N3730W,FIR,17,72
781,03N3731N,FIR,30,29
782,03N3731NW,PINE,11,69
783,03N3731S,FIR,12,66
784,03N3731W,FIR,10,50
785,03N3732N,FIR,18,86
786,02S3505NW,FIR,10,16
787,02S3506NW,PINE,8,112
788,02S3506W,PINE,34,42
789,02S3507NW,PINE,30,44
790,02S3507W,PINE,30,46
791,02S3510N,FIR,18,36
792,02S3510NW,FIR,24,17
793,02S3511N,FIR,9,10
794,02S3511NW,FIR,40,159
795,02S3512N,FIR,10,19
796,02S3512NW,FIR,5,29
797,02S3513N,PINE,24,51
798,02S3518NW,FIR,16,44
799,02S3518W,FIR,5,18
800,02S3519N,PINE,3,24
801,02S3519NW,WESTERN LARCH,6,13
802,02S3519W,PINE,18,83
803,02S3520N,PINE,8,9
